x4911959_how_would_you_rate_your_ability_to_communicate_statistics_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_communicate_in_statistics_to_5_an_indicative_of_highest_ability_to_communicate_in_statistics,x4911960_how_would_you_rate_your_ability_to_communicate_statistics_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_communicate_statistics_and_5_indicates_the_highest_ability_to_communicate_statistics,x4911962_how_would_you_rate_your_ability_to_use_r_statistical_software_going_into_the_course_please_rate_your_answer_on_a_scale_of_1_an_indicative_of_lowest_ability_to_use_to_5_an_indicative_of_highest_ability_to_use,x4911963_how_would_you_rate_your_ability_to_use_r_statistical_software_after_the_course_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_use_r_and_5_indicates_the_highest_ability_to_use_r,x4911996_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_completing_its_weekly_assignment_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts,x4911965_how_would_you_rate_your_understanding_of_the_statistical_concepts_in_each_module_after_participating_in_its_weekly_tutorial_please_rate_your_answer_on_a_scale_of_1_to_5_where_1_indicates_the_lowest_ability_to_understand_the_statistical_concepts_and_5_indicates_the_highest_ability_to_understand_the_statistical_concepts
3,4,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
4,5,1,4,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
3,3,3,3,3,3
4,2,1,2,2,4
4,4,4,4,4,5
4,4,4,4,NA,NA
3,4,2,4,NA,NA
NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA
1,4,1,3,4,5
2,4,1,2,4,5
2,4,1,3,3,3
2,4,1,4,4,5
3,4,1,4,4,4
3,5,1,4,4,4
5,5,5,4,4,4
5,5,5,5,5,5
4,5,5,5,5,5
4,4,4,5,4,5
2,4,1,3,3,3
5,5,5,5,5,5
1,3,1,4,3,3
4,4,2,3,4,5
1,3,1,3,2,4
3,5,2,4,4,5
2,4,1,3,4,NA
2,4,1,3,NA,2
4,4,4,4,4,2
3,3,3,3,5,5
5,5,4,4,4,5
3,4,4,4,5,5
3,5,1,5,5,5
3,3,1,4,2,4
3,2,3,3,3,4
1,2,1,2,4,3
3,4,1,3,4,3
4,4,4,4,4,4
5,5,5,5,5,4
5,5,NA,NA,NA,NA
4,3,4,4,4,4
4,4,4,4,4,4
3,4,3,3,4,4
1,4,1,4,3,4
4,4,4,4,4,4
2,4,1,2,3,4
2,3,1,3,3,3
3,4,NA,NA,NA,NA
1,4,1,4,4,4
3,3,3,4,4,5
3,4,3,4,3,4
5,5,5,5,5,5
3,4,1,5,5,5
2,4,1,3,4,4
5,3,3,4,3,5
1,5,1,5,5,5
3,4,1,2,2,5
2,4,1,3,3,3
4,4,4,4,4,4
4,5,1,3,4,4
4,4,3,3,4,4
1,3,1,3,4,3
1,4,2,4,4,4
4,4,4,4,4,4
2,4,2,3,4,5
2,3,1,3,3,4
3,5,2,4,5,5
3,4,4,4,4,4
2,4,1,4,4,4
4,4,4,4,4,4
4,4,3,3,4,5
5,5,3,3,4,5
3,4,1,4,4,5
3,2,2,1,3,2
3,4,1,2,4,4
2,4,1,3,4,3
3,3,3,3,4,3
3,4,4,4,4,4
5,5,1,3,5,5
5,4,4,4,4,5
4,4,4,4,3,4
2,4,1,4,4,5
5,5,5,4,5,5
4,4,2,4,3,4
5,5,5,5,5,5
3,4,3,3,3,4
1,3,1,3,3,3
4,4,4,4,4,4
3,4,1,4,3,3
4,4,5,3,3,4
5,5,5,3,4,5
5,5,4,4,4,5
3,4,1,3,4,5
5,5,5,5,5,5
4,4,3,3,2,3
2,2,2,3,5,5
3,4,1,3,3,4
1,3,1,2,4,4
4,3,2,4,4,4
1,3,1,1,4,4
4,4,4,5,4,4
1,4,1,2,4,5
1,4,1,3,4,4
3,3,4,4,4,4
3,4,1,4,3,4
2,4,4,4,3,2
5,4,4,3,4,4
5,5,4,4,5,5
4,3,2,2,4,3
2,3,1,2,3,3
2,4,1,3,4,4
3,4,3,4,4,4
1,4,1,3,3,2
3,4,3,4,4,4
3,4,1,4,4,3
2,4,1,4,5,3
3,3,3,3,3,3
4,4,4,5,5,5
5,5,5,5,5,4
3,4,1,3,4,5
4,3,4,4,4,4
3,3,4,4,4,4
4,3,3,3,4,5
1,3,1,4,4,4
5,5,5,5,5,5
5,5,5,5,5,5
5,5,5,5,5,5
5,4,5,5,5,5
3,4,1,3,4,4
1,3,1,5,5,5
1,3,1,4,4,4
1,3,1,4,2,3
2,2,3,3,1,4
3,4,1,3,4,5
3,3,2,2,2,5
4,4,3,3,4,5
3,3,3,3,4,3
2,3,1,2,3,3
4,3,2,2,4,3
3,3,2,2,2,2
2,4,1,3,3,3
3,3,2,2,4,2
5,5,5,5,5,5
4,4,3,3,4,5
5,5,5,3,4,3
3,4,1,4,4,5
2,4,1,3,3,5
2,4,2,4,4,4
5,5,5,5,4,4
1,3,1,2,2,2
2,4,1,3,5,5
4,5,1,4,5,5
2,4,3,3,3,2
3,3,3,4,4,3
5,5,4,4,5,5
2,4,1,4,4,4
1,2,1,1,1,1
2,4,1,4,4,5
1,3,1,4,4,4
2,5,1,4,5,5
5,3,5,3,5,5
3,4,1,3,4,5
3,3,3,3,4,4
3,4,5,3,4,3
1,4,1,3,4,5
3,4,1,2,3,3
3,4,3,4,3,3
4,4,2,4,4,4
1,3,2,2,4,4
1,4,1,3,4,5
3,5,1,4,4,4
3,4,4,5,4,5
2,3,1,3,3,3
3,3,5,5,3,4
5,4,5,5,5,5
4,5,2,2,4,4
3,4,3,4,4,4
2,4,1,4,4,4
3,4,2,3,3,5
5,5,5,5,5,5
2,4,1,4,4,5
5,5,4,3,5,5
3,4,3,4,4,4
4,4,2,2,4,4
5,5,5,2,5,4
1,4,1,3,4,4
1,4,1,3,3,4
2,3,2,2,2,3
5,3,4,4,4,5
3,3,3,3,3,3
4,4,4,4,4,5
3,3,2,3,3,3
2,4,1,2,4,3
3,4,1,2,5,4
2,3,2,3,2,2
3,3,2,5,4,3
2,5,1,3,5,3
4,3,3,2,4,5
2,4,1,3,2,4
3,4,1,2,3,4
4,4,4,4,4,4
2,4,1,3,3,5
3,5,1,3,5,5
3,3,3,3,3,3
4,3,4,4,3,4
3,3,3,4,4,3
3,4,1,2,4,4
4,4,4,3,5,4
4,4,3,3,4,5
3,3,3,3,4,4
4,3,3,4,4,5
2,4,1,3,4,5
2,4,1,2,3,2
5,5,5,5,5,5
4,3,3,3,4,4
5,5,5,5,5,5
5,5,5,5,5,5
1,4,1,1,3,4
2,4,1,3,4,5
1,3,1,3,3,3
3,4,1,3,4,3
2,2,1,1,2,4
3,5,3,5,4,4
5,5,5,4,4,5
4,4,5,5,4,4
3,3,4,4,5,5
5,5,1,2,4,3
4,5,1,2,4,5
2,4,3,3,4,3
4,5,3,3,4,5
3,4,3,4,4,4
3,3,4,4,3,4
2,4,1,4,3,4
5,5,5,5,5,5
3,5,1,4,4,5
2,4,1,3,5,3
1,3,1,3,5,5
4,4,4,4,4,4
4,5,3,4,3,5
3,4,1,5,4,5
1,5,1,5,4,5
2,3,2,4,3,4
3,4,4,5,4,4
3,4,1,3,4,5
3,4,3,4,4,4
2,4,1,2,3,4
3,4,3,5,3,3
2,4,1,2,4,5
2,4,1,2,2,4
1,3,1,2,4,4
4,3,2,4,4,4
4,4,4,4,4,4
3,3,3,3,3,4
5,5,5,5,5,5
4,5,4,5,5,5
3,4,2,3,4,4
4,5,4,5,5,5
1,3,1,3,2,4
4,5,1,3,4,5
4,4,4,4,4,3
5,4,4,5,4,4
4,3,4,3,3,3
5,5,5,5,5,5
5,5,1,5,5,5
1,5,1,3,4,5
3,5,1,5,4,5
1,4,1,3,4,5
5,5,5,5,4,5
4,4,2,2,4,4
4,4,5,4,5,5
3,4,1,4,4,4
1,3,1,3,4,4
3,4,4,3,3,3
2,4,1,4,3,4
5,4,5,4,4,4
4,4,3,3,5,5
4,4,3,3,4,4
2,3,1,3,4,4
1,3,1,3,3,3
2,4,1,3,2,3
1,4,1,3,4,4
1,4,1,3,4,5
5,5,5,5,5,5
3,4,3,3,5,5
2,2,1,3,3,2
2,4,1,4,3,1
2,4,1,2,2,4
1,4,1,3,4,5
3,4,1,4,4,4
3,5,1,5,5,5
4,4,4,4,4,4
2,3,1,3,3,4
4,3,3,3,3,5
3,3,2,3,2,1
2,4,3,5,4,4
4,4,3,3,4,5
5,5,5,5,5,5
2,3,1,4,4,3
5,5,4,4,5,5
3,4,1,3,4,5
3,4,3,3,2,3
5,5,5,5,5,5
4,4,4,4,4,4
4,4,4,4,4,4
2,4,1,3,5,5
2,3,1,3,4,4
3,4,2,4,5,4
3,5,1,4,3,4
5,5,5,5,5,5
2,4,1,3,4,4
4,4,1,1,4,5
4,4,4,3,3,4
4,3,3,4,4,4
3,4,1,3,5,4
2,4,1,2,3,4
2,3,1,3,3,5
4,1,3,3,2,3
2,4,1,3,2,4
5,5,5,5,5,5
4,4,4,4,4,4
5,5,3,3,5,5
4,4,4,4,4,4
2,4,1,3,4,3
4,3,3,2,4,5
3,3,4,3,3,4
5,5,5,5,5,5
3,3,3,3,3,3
2,3,1,2,2,3
4,5,1,3,4,3
2,4,1,3,4,3
5,5,1,3,5,5
1,3,1,4,4,1
4,4,4,4,4,4
4,4,4,4,4,4
3,4,1,3,2,4
4,5,2,4,5,5
4,4,3,3,4,5
2,4,1,3,5,4
2,4,1,3,3,4
4,4,1,3,4,4
5,4,4,4,4,4
3,4,1,3,2,3
3,4,1,4,4,5
3,4,1,3,5,5
5,4,4,4,4,4
2,4,1,3,4,2
2,4,1,3,3,4
2,4,1,2,3,4
1,4,1,4,4,3
2,4,1,4,4,4
3,4,5,5,3,4
1,3,1,4,3,4
4,4,4,4,4,4
4,4,4,4,4,4
